,Modelo,Cut-Off,Predichas,Acertadas,Ratio,Balance
217,cp_1_5.ckpt,0.5,1030,692,67.18446601941747,255891152.29000127
218,cp_1_5.ckpt,0.5,1425,948,66.52631578947368,122370530709.3151
219,cp_1_5.ckpt,0.5,1458,968,66.3923182441701,193945124887.7084
220,cp_1_5.ckpt,0.5,1460,968,66.3013698630137,190085616902.443
221,cp_1_6.ckpt,0.5,1166,722,61.921097770154375,214043793.042249
222,cp_1_6.ckpt,0.5,1606,972,60.52303860523038,51344719814.11042
223,cp_1_6.ckpt,0.5,1686,1007,59.72716488730724,91914157310.64925
224,cp_1_6.ckpt,0.5,1691,1009,59.66883500887049,94615533613.25952
225,cp_1_7.ckpt,0.5,1068,719,67.32209737827715,508917608.3634138
226,cp_1_7.ckpt,0.5,1498,1000,66.75567423230974,460841535235.01965
227,cp_1_7.ckpt,0.5,1557,1034,66.40976236351959,979257980799.9403
228,cp_1_7.ckpt,0.5,1559,1035,66.38871071199488,998549363021.6991
229,cp_1_8.ckpt,0.5,892,597,66.92825112107623,23779655.315826666
230,cp_1_8.ckpt,0.5,1248,820,65.7051282051282,4553942534.228505
231,cp_1_8.ckpt,0.5,1309,851,65.01145912910619,8421653129.880175
232,cp_1_8.ckpt,0.5,1312,852,64.9390243902439,8501684099.573427
233,cp_1_9.ckpt,0.5,772,569,73.70466321243524,26201452.081984363
234,cp_1_9.ckpt,0.5,1080,796,73.70370370370371,9524147902.182285
235,cp_1_9.ckpt,0.5,1116,815,73.02867383512545,14077700082.898985
236,cp_1_9.ckpt,0.5,1116,815,73.02867383512545,14077700082.898985
237,cp_1_10.ckpt,0.5,599,459,76.62771285475793,1910791.8635916747
238,cp_1_10.ckpt,0.5,831,631,75.93261131167269,168782613.9184968
239,cp_1_10.ckpt,0.5,859,647,75.32013969732247,240074282.139053
240,cp_1_10.ckpt,0.5,860,647,75.23255813953489,237673539.31766245
241,cp_1_11.ckpt,0.5,1208,827,68.46026490066225,8982432717.871307
242,cp_1_11.ckpt,0.5,1705,1157,67.85923753665689,28890537599813.42
243,cp_1_11.ckpt,0.5,1747,1182,67.65884373211219,50989945658743.25
244,cp_1_11.ckpt,0.5,1749,1182,67.58147512864494,49975245740134.26
245,cp_1_12.ckpt,0.5,1149,775,67.44995648389904,2072105798.2704835
246,cp_1_12.ckpt,0.5,1634,1084,66.34026927784578,3272718180501.753
247,cp_1_12.ckpt,0.5,1669,1105,66.20730976632714,5289115515736.99
248,cp_1_12.ckpt,0.5,1670,1105,66.16766467065868,5236224360579.621
249,cp_1_13.ckpt,0.5,440,377,85.68181818181819,366987.2477969383
250,cp_1_13.ckpt,0.5,614,526,85.66775244299674,23349485.71862373
251,cp_1_13.ckpt,0.5,614,526,85.66775244299674,23349485.71862373
252,cp_1_13.ckpt,0.5,614,526,85.66775244299674,23349485.71862373
253,cp_1_14.ckpt,0.5,760,567,74.60526315789474,27308570.380059898
254,cp_1_14.ckpt,0.5,1073,783,72.97297297297297,6105951880.933473
255,cp_1_14.ckpt,0.5,1077,784,72.79480037140205,6102336974.241403
256,cp_1_14.ckpt,0.5,1077,784,72.79480037140205,6102336974.241403
257,cp_1_15.ckpt,0.5,987,667,67.57852077001013,146450598.0657788
258,cp_1_15.ckpt,0.5,1410,939,66.59574468085107,99616356586.01924
259,cp_1_15.ckpt,0.5,1528,981,64.20157068062828,160608631136.86075
260,cp_1_15.ckpt,0.5,1532,982,64.09921671018277,160513546008.96878
261,cp_1_16.ckpt,0.5,513,418,81.48148148148148,893929.7966874462
262,cp_1_16.ckpt,0.5,716,578,80.72625698324022,65701114.10856884
263,cp_1_16.ckpt,0.5,717,578,80.61366806136681,65044102.967483155
264,cp_1_16.ckpt,0.5,717,578,80.61366806136681,65044102.967483155
265,cp_1_17.ckpt,0.5,1401,878,62.66952177016417,9733971395.039171
266,cp_1_17.ckpt,0.5,1991,1229,61.727774987443496,28246682344282.605
267,cp_1_17.ckpt,0.5,2112,1271,60.17992424242424,44188703225080.805
268,cp_1_17.ckpt,0.5,2117,1271,60.03778932451583,42023017085035.88
269,cp_1_18.ckpt,0.5,1320,835,63.25757575757576,4000847600.467189
270,cp_1_18.ckpt,0.5,1859,1133,60.946745562130175,2375345943008.4795
271,cp_1_18.ckpt,0.5,1900,1151,60.578947368421055,3209270981591.972
272,cp_1_18.ckpt,0.5,1900,1151,60.578947368421055,3209270981591.972
273,cp_1_19.ckpt,0.5,1146,763,66.57940663176265,1327645051.000171
274,cp_1_19.ckpt,0.5,1609,1067,66.3144810441268,2145824661767.7053
275,cp_1_19.ckpt,0.5,1651,1087,65.83888552392489,3106797933003.5195
276,cp_1_19.ckpt,0.5,1651,1087,65.83888552392489,3106797933003.5195
277,cp_1_20.ckpt,0.5,684,517,75.58479532163743,8089518.459533985
278,cp_1_20.ckpt,0.5,948,722,76.16033755274262,1914389114.636454
279,cp_1_20.ckpt,0.5,952,724,76.05042016806723,1990559001.0246298
280,cp_1_20.ckpt,0.5,952,724,76.05042016806723,1990559001.0246298
281,cp_1_22.ckpt,0.5,1196,798,66.72240802675586,3213015084.982987
282,cp_1_22.ckpt,0.5,1661,1097,66.04455147501506,4175276629475.893
283,cp_1_22.ckpt,0.5,1692,1119,66.13475177304964,7308377122858.303
284,cp_1_22.ckpt,0.5,1692,1119,66.13475177304964,7308377122858.303
285,cp_1_23.ckpt,0.5,1498,939,62.68357810413885,41136541691.75278
286,cp_1_23.ckpt,0.5,2087,1311,62.81744130330618,277020938452870.78
287,cp_1_23.ckpt,0.5,2160,1347,62.361111111111114,553547489780264.2
288,cp_1_23.ckpt,0.5,2162,1347,62.30342275670675,542531894733636.9
